seurat_clusters,annotation
0,CD4 memory
1,CD4 naive I
2,Classical monocytes
3,CD56dim CD16bright NK
4,CD8 naive
5,Naive B
6,CD4 naive II
7,CD8 effector
8,Neutrophils
9,CD8 memory
10,Memory B
11,gdT cells
12,Non classical monocytes
13,MAIT-NKT cells
14,Regulatory T cells
15,Platelets
16,CD4 and CD8 mixed naive
17,CD56bright CD16dim NK
18,T-NK-B cell doublets
19,CD4 and CD8 activated memory
20,Proliferating T and NK cell
21,Platelet-T cell doublets
22,Plasma cells
23,Conventional DC
24,Platelet-bound monocytes
25,Plasmacytoid DC
26,NK-T doublets
27,NK-monocyte doublets
28,Progenitor
29,Erythroid 